order_id,customer_name,customer_email,order_date,product_category,quantity,price,discount_percent,shipping_city,customer_phone
1,John Doe,john@example.com,2023-01-01 00:00:00,Home  Garden,4,67.01953496388329,0.0,new york,(555) 123-4567
3,Bob Johnson,bob@test.com,2023-01-01 12:00:00,Books,5,196.50541380352425,0.0,chicago,555-123-4567
4,ALICE WONG,alice@company.co,2023-01-01 18:00:00,Electronics,8,440.2074170180841,10.0,houston,N/A
5,John Doe,john@example.com,2023-01-02 00:00:00,Electronics,5,435.3477781526507,0.0,phoenix,(555)1234567
6,Charlie Brown,charlie@email.com,2023-01-02 06:00:00,Clothing,8,404.90344605763437,0.0,philadelphia,555.123.4567
8,david LEE,david@site.org,2023-01-02 18:00:00,Books,9,159.29277815804,15.0,san diego,1234567890
9,John Doe,john@example.com,2023-01-03 00:00:00,Books,6,49.65044869511357,20.0,new york,(555) 123-4567
11,Bob Johnson,bob@test.com,2023-01-03 12:00:00,Home  Garden,8,95.02701234338925,20.0,chicago,555-123-4567
12,ALICE WONG,alice@company.co,2023-01-03 18:00:00,Books,9,350.52603356220624,5.0,houston,N/A
13,John Doe,john@example.com,2023-01-04 00:00:00,Electronics,6,179.5888660035149,0.0,phoenix,(555)1234567
14,Charlie Brown,charlie@email.com,2023-01-04 06:00:00,Clothing,7,488.0489984213583,15.0,philadelphia,555.123.4567
16,david LEE,david@site.org,2023-01-04 18:00:00,Clothing,5,413.01547618083686,10.0,san diego,1234567890
17,John Doe,john@example.com,2023-01-05 00:00:00,Home  Garden,5,74.93708964350573,15.0,new york,(555) 123-4567
19,Bob Johnson,bob@test.com,2023-01-05 12:00:00,Electronics,6,462.1510233515632,15.0,chicago,555-123-4567
20,ALICE WONG,alice@company.co,2023-01-05 18:00:00,Home  Garden,7,248.6603402212786,15.0,houston,N/A
21,John Doe,john@example.com,2023-01-06 00:00:00,Clothing,9,307.06393949797894,20.0,phoenix,(555)1234567
22,Charlie Brown,charlie@email.com,2023-01-06 06:00:00,Electronics,1,384.75680244246774,15.0,philadelphia,555.123.4567
24,david LEE,david@site.org,2023-01-06 18:00:00,Electronics,7,256.2573774670868,0.0,san diego,1234567890
25,John Doe,john@example.com,2023-01-07 00:00:00,Electronics,3,205.34488360843343,0.0,new york,(555) 123-4567
27,Bob Johnson,bob@test.com,2023-01-07 12:00:00,Books,5,190.09186692285041,20.0,chicago,555-123-4567
28,ALICE WONG,alice@company.co,2023-01-07 18:00:00,Clothing,9,43.40443159889185,15.0,houston,N/A
29,John Doe,john@example.com,2023-01-08 00:00:00,Home  Garden,5,22.647834405248624,10.0,phoenix,(555)1234567
30,Charlie Brown,charlie@email.com,2023-01-08 06:00:00,Home  Garden,9,76.23148168586316,10.0,philadelphia,555.123.4567
32,david LEE,david@site.org,2023-01-08 18:00:00,Home  Garden,9,279.2694725885583,0.0,san diego,1234567890
33,John Doe,john@example.com,2023-01-09 00:00:00,Home  Garden,5,483.2528589650778,0.0,new york,(555) 123-4567
35,Bob Johnson,bob@test.com,2023-01-09 12:00:00,Books,3,162.78990521177718,0.0,chicago,555-123-4567
36,ALICE WONG,alice@company.co,2023-01-09 18:00:00,Electronics,4,258.0095127917196,5.0,houston,N/A
37,John Doe,john@example.com,2023-01-10 00:00:00,Books,9,225.36072743012596,20.0,phoenix,(555)1234567
38,Charlie Brown,charlie@email.com,2023-01-10 06:00:00,Electronics,6,61.77569528825452,15.0,philadelphia,555.123.4567
40,david LEE,david@site.org,2023-01-10 18:00:00,Clothing,7,115.85870942970381,5.0,san diego,1234567890
41,John Doe,john@example.com,2023-01-11 00:00:00,Home  Garden,2,313.5980978999365,0.0,new york,(555) 123-4567
43,Bob Johnson,bob@test.com,2023-01-11 12:00:00,Home  Garden,1,84.49217803303758,20.0,chicago,555-123-4567
44,ALICE WONG,alice@company.co,2023-01-11 18:00:00,Clothing,3,40.0613172842274,0.0,houston,N/A
45,John Doe,john@example.com,2023-01-12 00:00:00,Clothing,6,392.5731771735355,5.0,phoenix,(555)1234567
46,Charlie Brown,charlie@email.com,2023-01-12 06:00:00,Electronics,8,235.30220764696688,0.0,philadelphia,555.123.4567
48,david LEE,david@site.org,2023-01-12 18:00:00,Electronics,7,497.4844954131859,15.0,san diego,1234567890
49,John Doe,john@example.com,2023-01-13 00:00:00,Clothing,4,38.312474888219654,0.0,new york,(555) 123-4567
51,Bob Johnson,bob@test.com,2023-01-13 12:00:00,Home  Garden,5,492.0026733790727,10.0,chicago,555-123-4567
52,ALICE WONG,alice@company.co,2023-01-13 18:00:00,Home  Garden,8,127.19825106580355,0.0,houston,N/A
53,John Doe,john@example.com,2023-01-14 00:00:00,Home  Garden,1,79.70219065672613,10.0,phoenix,(555)1234567
54,Charlie Brown,charlie@email.com,2023-01-14 06:00:00,Electronics,1,69.47862031699016,0.0,philadelphia,555.123.4567
56,david LEE,david@site.org,2023-01-14 18:00:00,Electronics,2,59.51244739521688,15.0,san diego,1234567890
57,John Doe,john@example.com,2023-01-15 00:00:00,Home  Garden,5,349.1590574301246,0.0,new york,(555) 123-4567
59,Bob Johnson,bob@test.com,2023-01-15 12:00:00,Home  Garden,7,259.6168427933969,20.0,chicago,555-123-4567
60,ALICE WONG,alice@company.co,2023-01-15 18:00:00,Clothing,1,498.3814583879586,10.0,houston,N/A
61,John Doe,john@example.com,2023-01-16 00:00:00,Clothing,4,408.8454320579492,0.0,phoenix,(555)1234567
62,Charlie Brown,charlie@email.com,2023-01-16 06:00:00,Home  Garden,9,311.4575247331953,15.0,philadelphia,555.123.4567
64,david LEE,david@site.org,2023-01-16 18:00:00,Clothing,4,315.70895978290287,15.0,san diego,1234567890
65,John Doe,john@example.com,2023-01-17 00:00:00,Clothing,6,268.2503173167093,5.0,new york,(555) 123-4567
67,Bob Johnson,bob@test.com,2023-01-17 12:00:00,Clothing,8,74.04808460269774,0.0,chicago,555-123-4567
68,ALICE WONG,alice@company.co,2023-01-17 18:00:00,Clothing,1,444.4360654678287,15.0,houston,N/A
69,John Doe,john@example.com,2023-01-18 00:00:00,Home  Garden,7,230.39447792244803,15.0,phoenix,(555)1234567
70,Charlie Brown,charlie@email.com,2023-01-18 06:00:00,Home  Garden,1,105.36503079217488,0.0,philadelphia,555.123.4567
72,david LEE,david@site.org,2023-01-18 18:00:00,Electronics,3,212.92357873917425,5.0,san diego,1234567890
73,John Doe,john@example.com,2023-01-19 00:00:00,Electronics,8,415.4935688277684,15.0,new york,(555) 123-4567
75,Bob Johnson,bob@test.com,2023-01-19 12:00:00,Electronics,1,386.95939788425653,0.0,chicago,555-123-4567
76,ALICE WONG,alice@company.co,2023-01-19 18:00:00,Clothing,8,15.405319570037134,20.0,houston,N/A
77,John Doe,john@example.com,2023-01-20 00:00:00,Electronics,3,213.91545910808313,5.0,phoenix,(555)1234567
78,Charlie Brown,charlie@email.com,2023-01-20 06:00:00,Home  Garden,2,245.85863430130857,10.0,philadelphia,555.123.4567
80,david LEE,david@site.org,2023-01-20 18:00:00,Home  Garden,3,137.30847228506678,0.0,san diego,1234567890
81,John Doe,john@example.com,2023-01-21 00:00:00,Electronics,2,382.54201332984616,5.0,new york,(555) 123-4567
83,Bob Johnson,bob@test.com,2023-01-21 12:00:00,Electronics,6,272.3019644117699,0.0,chicago,555-123-4567
84,ALICE WONG,alice@company.co,2023-01-21 18:00:00,Electronics,1,115.44891728844638,20.0,houston,N/A
85,John Doe,john@example.com,2023-01-22 00:00:00,Electronics,2,15.939179575507705,0.0,phoenix,(555)1234567
86,Charlie Brown,charlie@email.com,2023-01-22 06:00:00,Electronics,6,128.18871422377532,0.0,philadelphia,555.123.4567
88,david LEE,david@site.org,2023-01-22 18:00:00,Electronics,4,402.7531848226649,15.0,san diego,1234567890
